id_producto,nombre,marca,tipo_mascota,edad_recomendada,tamano,categoria,subcategoria,nivel_precio,precio,descripcion
1,Purina Pro Plan Puppy Razas Medianas,Purina,Perro,Cachorro,Mediano,Alimentacion,Especializado,Medio,5.37,Purina Pro Plan Puppy Razas Medianas diseñado para perro en etapa cachorro.
2,Royal Canin Puppy Small Dog,Royal Canin,Perro,Cachorro,Mediano,Alimentacion,Especializado,Alto,5.74,Royal Canin Puppy Small Dog diseñado para perro en etapa cachorro.
3,Kong Puppy Classic Mordedor,Kong,Perro,Cachorro,Mediano,Juguetes,Especializado,Medio,6.11,Kong Puppy Classic Mordedor diseñado para perro en etapa cachorro.
4,Shampoo Puppy Pet Society,Pet Society,Perro,Cachorro,Mediano,Higiene,Especializado,Alto,6.48,Shampoo Puppy Pet Society diseñado para perro en etapa cachorro.
5,NexGard Puppy Antipulgas,NexGard,Perro,Cachorro,Mediano,Salud,Especializado,Medio,6.85,NexGard Puppy Antipulgas diseñado para perro en etapa cachorro.
6,Collar Ajustable Ferplast Puppy,Ferplast,Perro,Cachorro,Mediano,Accesorios,Especializado,Alto,7.22,Collar Ajustable Ferplast Puppy diseñado para perro en etapa cachorro.
7,Purina Dog Chow Adultos Carne,Purina,Perro,Adulto,Mediano,Alimentacion,Especializado,Medio,7.59,Purina Dog Chow Adultos Carne diseñado para perro en etapa adulto.
8,Royal Canin Adult Medium,Royal Canin,Perro,Adulto,Mediano,Alimentacion,Especializado,Alto,7.96,Royal Canin Adult Medium diseñado para perro en etapa adulto.
9,Taste of the Wild Pacific Stream,Taste of the Wild,Perro,Adulto,Mediano,Alimentacion,Especializado,Medio,8.33,Taste of the Wild Pacific Stream diseñado para perro en etapa adulto.
10,NexGard Spectra Antipulgas,NexGard,Perro,Adulto,Mediano,Salud,Especializado,Alto,8.7,NexGard Spectra Antipulgas diseñado para perro en etapa adulto.
